,key,DOCUMENTO,PROGRAMA,CICLO,ESTADO,PUNTOS,CREDITOS,PROMEDIO,TIPO_DOCUMENTO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
0,ea66173647106e82f3e281faf4139fe2,adb6f1e65927bf45badd1904f7486b4d,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,160.5,47,3.4148936170212765,TI,M,REGULAR,19.0,SOLTERO,EMPLEADO,2.0,0,4.6728893,-74.0807235,ENGATIVA
1,29cac666d5fd8eb1c5a5fed05cabfa74,5885098eaab89010441644514cd46752,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,263.2,71,3.7070422535211267,TI,M,REGULAR,20.0,SOLTERO,DESEMPLEADO,2.0,0,4.7017889,-74.12474370000002,CIUDAD BOLIVAR
2,52240d95a296144191d4357d0b234c91,a3691ad33a56ba7ea63bd1f143d75bc5,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,0.0,14,0.0,TI,M,REGULAR,18.0,SOLTERO,DESEMPLEADO,3.0,0,4.541811099999999,-74.15567829999998,LOS MARTIRES
3,f56597843ad814e47b1d7ef850c14a52,28206fe6f0ce598d9bb9dc7b63ff6e40,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,222.69999999999993,58,3.8396551724137917,TI,M,REGULAR,18.0,SOLTERO,DESEMPLEADO,2.0,0,4.6133241,-74.1595035,KENNEDY
4,bfb237ee00d7e87394156584fb168405,ac3835487aa06924a3ef177621e7dcf3,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,60.199999999999996,17,3.541176470588235,TI,M,REGULAR,18.0,SOLTERO,EMPLEADO,2.0,0,,,MUNICIPIO ALEDANO
5,05a2c700776caff3786d2e1efff986dc,dfb3d8d2b4082d925f988a7b40002882,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,17.0,15,1.1333333333333333,CC,M,REGULAR,19.0,SOLTERO,DESEMPLEADO,2.0,0,4.6519858,-74.0512203,USME
6,d972c41809192a102ccc63dc71dd263a,1fe8ad6b1a7e22060cf52ed241224abe,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,116.99999999999997,40,2.9249999999999994,CC,M,REGULAR,20.0,SOLTERO,DESEMPLEADO,3.0,0,4.5553694,-74.1225119,MUNICIPIO ALEDANO
7,3bac1d585af60df691adee40bd8c0b50,8813564d346f8c8e13e75346a8797796,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,168.0,43,3.9069767441860463,TI,M,REGULAR,20.0,UNION LIBRE,DESEMPLEADO,2.0,0,4.6244835,-74.0579741,KENNEDY
8,794a0a96f90c83fc65614a706f5f5b0d,d5732ccf6dd758f3f5772bdb3e618e22,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,73.2,28,2.6142857142857143,CC,F,REGULAR,20.0,SOLTERO,DESEMPLEADO,2.0,0,4.6670303,-74.1415382,KENNEDY
9,e85e72e913e95a04e173f98481fc65e7,410de65d15f7a12bd2a37ec16c50481d,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,42.49999999999999,15,2.833333333333333,TI,M,REGULAR,20.0,SOLTERO,DESEMPLEADO,2.0,0,,,CIUDAD BOLIVAR
10,1c19ebf868b11e2dc158e27175c121e7,7a8a9e2ba87af8ac186ac7eefe36a6d2,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,139.1,37,3.7594594594594595,CC,M,REGULAR,18.0,SOLTERO,DESEMPLEADO,2.0,0,4.598056400000001,-74.0953312,SANTA FE
11,e0f37e73ff76641dda63a4f3c1384add,cce70170a9818cd6666359ae2b4a7915,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,222.59999999999997,61,3.649180327868852,CC,M,REGULAR,20.0,SOLTERO,DESEMPLEADO,2.0,0,,,KENNEDY
12,b293fdf25bd99c618fe61c91c9294f53,6480611716a7c95f18cfcee08aaacfea,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,55.900000000000006,14,3.9928571428571433,CC,M,REGULAR,20.0,SOLTERO,EMPLEADO,2.0,0,4.614044,-74.0897355,MUNICIPIO ALEDANO
13,ef86600fb7361f27f7d404d91b6d0f65,ca2d8005a300f42380475414023eccb9,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,202.30000000000004,47,4.304255319148937,CC,M,REGULAR,20.0,SOLTERO,EMPLEADO,1.0,0,,,CIUDAD BOLIVAR
14,7c8463d1526b4c8b1674154d520c84d0,12f6ea8a35a86e375e595a16c3ddfd6d,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,278.50000000000006,73,3.8150684931506857,TI,M,REGULAR,18.0,SOLTERO,DESEMPLEADO,2.0,0,4.7113702,-74.0970035,USME
15,f52986a094bc4d7fcab5a9547ee3ac0f,9c088df71752b5849eac6441546abd0c,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,62.199999999999996,15,4.1466666666666665,CC,M,REGULAR,19.0,SOLTERO,OTRO,3.0,0,4.7483544,-74.0390233,USAQUEN
