key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDEyMDAxMCB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,48,3.7693749999999997,F,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,,,BOSA
MTAwMDEyMDE5OSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,31,4.159032258064516,F,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.7098431,-74.1033865,BOSA
MTAwMDEyMTMzNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,54,3.23537037037037,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,,,BOSA
MTAwMDEyMTM2NyB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,18,4.05111111111111,F,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.6876138,-74.0939054,BOSA
MTAwMDEyMzA5OCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,29,3.9548275862068967,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,,,BOSA
MTAwMDEyNTQ5NSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,48,3.475520833333333,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.607272900000001,-74.0744952,BOSA
MTAwMDEyNTYxOCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,58,3.624310344827586,M,REGULAR,18,SOLTERO,INDEPENDIENTE,2,0,,,CIUDAD BOLIVAR
MTAwMDEyNzY2NiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,17,3.5382352941176474,M,REGULAR,18,SOLTERO,DESEMPLEADO,1,0,4.6370816,-74.0650853,BOSA
MTAwMDEyODIxMyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,3.691666666666667,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,,,BOSA
MTAwMDEzMjI5MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,3.0444444444444443,M,REGULAR,17,SOLTERO,DESEMPLEADO,2,0,4.5830898,-74.11172679999999,BOSA
