key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDM0NzAxNiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.0,M,REGULAR,20,SOLTERO,INDEPENDIENTE,2,0,4.51815,-74.11450699999997,SAN CRISTOBAL
MTAwMDM0NzUxNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.926111111111111,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,4.674586799999998,-74.06106679999998,CIUDAD BOLIVAR
MTAwMDM2NDEzNSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,16,1.885,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,4.6016502,-74.0799738,RAFAEL URIBE
MTAwMDM3MTc5NCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,22,3.2068181818181816,M,VALIDACION,20,SOLTERO,DESEMPLEADO,1,0,,,SAN CRISTOBAL
MTAwMDM3NDgzNSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,34,3.6899411764705876,M,REGULAR,31,CASADO,EMPLEADO,3,0,4.707793799999999,-74.1064818,ENGATIVA
MTAwMDM3NDgzNSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgSU5EVVNUUklBTEVT,TECNICO PROFESIONAL EN PROCESOS INDUSTRIALES,TECNICO,DESERTOR,61,2.702131147540984,M,REGULAR,31,CASADO,EMPLEADO,3,0,4.707793799999999,-74.1064818,ENGATIVA
MTAwMDM3NTg0MSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.6961111111111111,M,REGULAR,20,SOLTERO,INDEPENDIENTE,3,0,4.747804,-74.1082911,SUBA
MTAwMDM3OTU3NCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,16,0.07500000000000001,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.5992275000000005,-74.0852594,KENNEDY
MTAwMDQ2NDE1NiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,29,2.9920689655172414,M,REGULAR,19,SOLTERO,EMPLEADO,3,0,4.7060285,-74.1121589,SUBA
MTAwMDQ3NDU3NyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.725,M,REGULAR,20,SOLTERO,EMPLEADO,3,0,4.7039147,-74.1342033,FONTIBON
MTAwMDQ5NDIzOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,1.1155555555555554,M,VALIDACION,19,SOLTERO,EMPLEADO,3,0,4.599054649999999,-74.09374866470525,LOS MARTIRES
MTAwMDQ5NDkyNiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,2.5411111111111118,M,REGULAR,19,SOLTERO,INDEPENDIENTE,2,0,,,SAN CRISTOBAL
MTAwMDUwMjU0NCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,16,0.7753749999999999,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,,,BOSA
MTAwMDUxNDI3OSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,15,2.5646666666666667,M,VALIDACION,20,SOLTERO,INDEPENDIENTE,2,0,4.5432459000000005,-74.1112079,MUNICIPIO ALEDANO
MTAwMDU3MTQ3OSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,GRADUADO,72,4.01,M,VALIDACION,27,UNION LIBRE,EMPLEADO,2,0,,,
MTAwMDU3MTkyNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,1.8033333333333335,M,REGULAR,19,SOLTERO,OTRO,2,0,4.7641521,-74.031194,USAQUEN
MTAwMDU3Mzg2OSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,15,0.2966666666666667,M,VALIDACION,19,SOLTERO,EMPLEADO,2,0,4.6816087999999985,-74.1338532,MUNICIPIO ALEDANO
MTAwMDU3NzkzOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,49,2.940204081632653,M,REGULAR,23,SOLTERO,DESEMPLEADO,2,0,4.642378,-74.1572528,KENNEDY
MTAwMDU5MTA3MyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,2.521111111111111,M,REGULAR,20,,DESEMPLEADO,3,0,4.5956007,-74.1343163,PUENTE ARANDA
MTAwMDYxNDY2MSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,73,3.472328767123288,M,REGULAR,21,SOLTERO,DESEMPLEADO,2,0,4.6416799000000015,-74.09182890000002,SAN CRISTOBAL
MTAwMDYxNDgzMyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,46,3.6795652173913043,F,REGULAR,24,SOLTERO,EMPLEADO,3,0,4.6193503,-74.0793213,ANTONIO NARINO
MTAwMDY4OTY2NiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,46,3.6213043478260873,M,REGULAR,21,SOLTERO,DESEMPLEADO,3,0,4.689482900000002,-74.07690840000002,KENNEDY
MTAwMDcyMjA5NSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.7188888888888889,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,CIUDAD BOLIVAR
MTAwMDcyNDcyMyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,14,1.3007142857142857,M,REGULAR,20,SOLTERO,EMPLEADO,1,0,,,CIUDAD BOLIVAR
MTAwMDc3OTk5MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,43,2.695348837209302,M,REGULAR,21,SOLTERO,DESEMPLEADO,2,0,,,SAN CRISTOBAL
MTAwMDc4MTI1MiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,DESERTOR,33,2.588,M,REGULAR,22,SOLTERO,EMPLEADO,2,0,4.5959552000000015,-74.1891332,TUNJUELITO
MTAwMDc4MTczMiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,27,1.8811111111111112,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.5920117,-74.08014890000003,KENNEDY
MTAwMDc4MjkyNSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,2.0744444444444445,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,,,BOSA
